"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Derrick Henry","RB","BAL","16","586","37","56","52","3","55","55","289.3","49.4"
"James Cook III","RB","BUF","15","470","31","49","42","8","49","50","225.9","48.1"
"David Montgomery","RB","DET","14","390","28","41","47","10","57","57","185.7","47.6"
"Tanner McKee","QB","PHI","1","21","21","32","10","0","29","29","10.0","47.6"
"Jahmyr Gibbs","RB","DET","16","594","37","55","38","10","46","48","269.9","45.4"
"Lamar Jackson","QB","BAL","16","1,007","63","97","13","0","57","57","411.4","40.9"
"Saquon Barkley","RB","PHI","16","801","50","74","43","5","47","48","322.3","40.2"
"Josh Allen","QB","BUF","16","967","60","95","11","0","60","60","385.1","39.8"
"Bucky Irving","RB","TB","16","468","29","44","40","10","50","50","183.0","39.1"
"Josh Jacobs","RB","GB","16","658","41","65","45","6","50","51","246.5","37.5"
"Joe Mixon","RB","HOU","13","546","42","65","44","9","51","53","201.7","36.9"
"Taysom Hill","TE","NO","8","225","28","42","17","14","29","33","80.3","35.7"
"Joe Burrow","QB","CIN","16","1,058","66","100","4","0","61","61","367.9","34.8"
"Jayden Daniels","QB","WAS","16","1,036","65","94","14","0","59","59","360.5","34.8"
"Jalen Hurts","QB","PHI","15","934","62","91","16","0","55","55","320.0","34.3"
"Tank Bigsby","RB","JAC","14","326","23","38","47","3","49","51","111.8","34.3"
"Baker Mayfield","QB","TB","16","1,056","66","98","5","0","56","56","359.2","34.0"
"James Conner","RB","ARI","16","619","39","60","38","9","46","47","206.8","33.4"
"Bijan Robinson","RB","ATL","16","792","50","75","35","8","42","43","251.4","31.7"
"J.K. Dobbins","RB","LAC","12","484","40","63","37","7","43","44","152.3","31.5"
"Jonathan Taylor","RB","IND","13","651","50","81","41","4","44","46","202.7","31.1"
"De'Von Achane","RB","MIA","16","655","41","61","29","13","41","43","203.8","31.1"
"Jared Goff","QB","DET","16","1,045","65","97","3","0","52","52","324.3","31.0"
"Alvin Kamara","RB","NO","14","641","46","71","36","14","46","49","197.3","30.8"
"Sam Darnold","QB","MIN","16","1,045","65","99","6","0","54","54","312.2","29.9"
"Najee Harris","RB","PIT","7","265","38","55","46","9","53","55","78.4","29.6"
"Brock Purdy","QB","SF","15","944","63","99","7","0","55","55","279.0","29.6"
"Justin Fields","QB","PIT","10","408","41","62","15","0","55","55","120.1","29.4"
"Chase Brown","RB","CIN","16","686","43","65","33","9","41","43","201.0","29.3"
"Marcus Mariota","QB","WAS","2","68","34","50","19","0","57","57","19.7","29.0"
"Kristian Wilkerson","WR","LV","1","27","27","43","0","11","7","11","7.8","28.9"
"Kenneth Walker III","RB","SEA","11","469","43","64","33","11","42","44","135.2","28.8"
"Bo Nix","QB","DEN","16","1,023","64","100","8","0","61","61","294.6","28.8"
"Jordan Love","QB","GB","14","845","60","95","3","0","52","52","242.1","28.7"
"Brian Robinson Jr.","RB","WAS","13","482","37","52","38","5","42","43","138.2","28.7"
"Jameis Winston","QB","CLE","11","503","46","64","5","0","64","64","143.2","28.5"
"Drew Lock","QB","NYG","6","268","45","72","6","0","63","63","76.3","28.5"
"Trevor Lawrence","QB","JAC","10","536","54","89","5","0","58","58","152.2","28.4"
"Anthony Richardson Sr.","QB","IND","11","620","56","92","14","0","57","57","174.5","28.1"
"Kyler Murray","QB","ARI","16","1,005","63","97","7","0","58","58","280.5","27.9"
"Chuba Hubbard","RB","CAR","15","712","47","77","35","8","41","43","198.6","27.9"
"Kareem Hunt","RB","KC","13","477","37","52","42","7","47","49","132.4","27.8"
"Aaron Jones Sr.","RB","MIN","16","660","41","63","37","8","44","46","183.1","27.7"
"Malik Willis","QB","GB","6","174","29","42","11","0","34","34","48.1","27.6"
"Drake Maye","QB","NE","12","678","57","88","8","0","58","58","187.1","27.6"
"Jordan Mason","RB","SF","12","378","32","50","40","4","43","44","104.0","27.5"
"Nico Collins","WR","HOU","11","491","45","70","0","19","13","19","132.8","27.0"
"Justin Herbert","QB","LAC","16","970","61","98","7","0","55","55","260.6","26.9"
"Kyren Williams","RB","LAR","16","888","56","87","36","5","39","40","238.1","26.8"
"Patrick Mahomes II","QB","KC","16","1,106","69","99","5","0","58","58","292.9","26.5"
"Ja'Marr Chase","WR","CIN","16","981","61","92","0","16","12","17","260.4","26.5"
"Rashee Rice","WR","KC","4","155","39","61","1","19","16","19","40.9","26.4"
"Tua Tagovailoa","QB","MIA","11","717","65","97","2","0","58","58","188.5","26.3"
"Puka Nacua","WR","LAR","11","487","44","68","2","22","18","24","127.6","26.2"
"Tyjae Spears","RB","TEN","12","320","27","43","26","11","36","37","83.6","26.1"
"Rachaad White","RB","TB","15","573","38","58","25","10","34","35","148.6","25.9"
"Derek Carr","QB","NO","10","604","60","95","3","0","49","49","156.0","25.8"
"Zach Charbonnet","RB","SEA","16","526","33","50","23","10","31","33","135.8","25.8"
"Mike Evans","WR","TB","13","612","47","69","0","16","11","16","157.5","25.7"
"Bryce Young","QB","CAR","13","661","51","87","6","0","59","59","167.4","25.3"
"Russell Wilson","QB","PIT","10","658","66","98","6","0","52","52","166.3","25.3"
"Austin Ekeler","RB","WAS","11","374","34","52","20","10","29","30","94.1","25.2"
"Geno Smith","QB","SEA","16","1,020","64","98","5","0","59","59","254.8","25.0"
"Aaron Rodgers","QB","NYJ","16","966","60","96","2","0","59","59","241.6","25.0"
"Breece Hall","RB","NYJ","15","675","45","72","29","11","37","40","168.7","25.0"
"Dak Prescott","QB","DAL","8","501","63","91","3","0","60","60","124.5","24.9"
"Nick Chubb","RB","CLE","8","235","29","40","43","5","46","48","58.3","24.8"
"Rico Dowdle","RB","DAL","15","584","39","57","36","8","43","44","144.4","24.7"
"Brian Thomas Jr.","WR","JAC","16","759","47","79","1","16","11","17","186.7","24.6"
"Tee Higgins","WR","CIN","11","586","53","80","0","18","12","18","143.8","24.5"
"Alexander Mattison","RB","LV","13","407","31","47","31","11","39","42","98.3","24.2"
"Rhamondre Stevenson","RB","NE","15","599","40","62","35","7","40","41","142.9","23.9"
"Sincere McCormick","RB","LV","4","89","22","32","44","8","51","52","21.2","23.8"
"Joe Flacco","QB","IND","6","388","65","97","2","0","56","56","91.6","23.6"
"Caleb Williams","QB","CHI","16","1,061","66","99","7","0","58","58","249.6","23.5"
"Tony Pollard","RB","TEN","15","656","44","68","36","9","43","45","153.5","23.4"
"Adam Thielen","WR","CAR","9","378","42","68","0","15","11","15","87.1","23.0"
"Roschon Johnson","RB","CHI","12","259","22","31","20","6","25","26","59.5","23.0"
"D'Andre Swift","RB","CHI","16","702","44","65","33","7","39","40","160.0","22.8"
