"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Derrick Henry","RB","BAL","9","305","34","54","58","4","62","62","164.5","53.9"
"Malik Willis","QB","GB","4","98","25","41","22","0","58","58","51.1","52.1"
"Tory Horton","WR","SEA","1","37","37","73","0","11","11","11","16.8","45.4"
"Jaylen Warren","RB","PIT","9","250","28","45","46","7","52","53","104.4","41.8"
"Blake Corum","RB","LAR","9","199","22","33","46","3","47","48","80.5","40.5"
"De'Von Achane","RB","MIA","8","339","42","73","39","10","47","49","136.4","40.2"
"Christian McCaffrey","RB","SF","8","432","54","81","38","11","47","49","168.0","38.9"
"James Cook III","RB","BUF","9","364","40","62","50","7","55","57","141.5","38.9"
"Jahmyr Gibbs","RB","DET","9","417","46","71","29","15","40","43","158.6","38.0"
"Puka Nacua","WR","LAR","9","384","43","63","1","23","18","25","145.2","37.8"
"TreVeyon Henderson","RB","NE","8","312","39","60","37","8","43","44","117.2","37.6"
"Jacory Croskey-Merritt","RB","WAS","8","166","21","34","48","1","49","49","62.2","37.5"
"Travis Etienne Jr.","RB","JAC","9","368","41","61","40","8","46","48","136.7","37.1"
"Zach Charbonnet","RB","SEA","9","249","28","44","38","5","43","43","91.6","36.8"
"Bijan Robinson","RB","ATL","9","464","52","81","36","13","45","48","169.3","36.5"
"Josh Allen","QB","BUF","9","587","65","99","11","0","56","56","214.0","36.5"
"Brock Purdy","QB","SF","6","392","65","97","6","0","53","53","142.7","36.4"
"Trevor Lawrence","QB","JAC","9","578","64","96","9","0","56","56","209.8","36.3"
"Chris Rodriguez Jr.","RB","WAS","6","157","26","41","44","2","45","46","56.8","36.2"
"Omarion Hampton","RB","LAC","4","133","33","50","44","10","53","53","46.7","35.1"
"Devin Singletary","RB","NYG","8","200","25","38","41","8","49","49","69.0","34.5"
"Josh Jacobs","RB","GB","8","249","31","51","44","8","51","53","83.3","33.5"
"Kyren Williams","RB","LAR","9","388","43","64","36","5","39","41","129.4","33.4"
"Jaxson Dart","QB","NYG","6","350","58","94","11","0","58","58","116.3","33.2"
"Drake Maye","QB","NE","8","510","64","97","9","0","58","58","168.0","32.9"
"Matthew Stafford","QB","LAR","9","595","66","98","2","0","55","55","195.2","32.8"
"RJ Harvey","RB","DEN","8","290","36","54","30","11","40","42","94.8","32.7"
"Jawhar Jordan","RB","HOU","3","69","23","35","55","10","65","65","22.4","32.5"
