"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","185","263","70.3","2,108","8.0","13","6","26","63","318","9","2","9","214.0","23.8","99.6%"
"2","Trevor Lawrence (JAC)","167","271","61.6","2,132","7.9","17","7","19","50","235","7","2","9","209.8","23.3","76.4%"
"3","Matthew Stafford (LAR)","203","315","64.4","2,582","8.2","25","6","11","11","0","0","1","9","195.2","21.7","93.9%"
"4","Caleb Williams (CHI)","172","312","55.1","2,094","6.7","16","2","11","41","252","1","1","9","183.2","20.4","79.4%"
"5","Jacoby Brissett (ARI)","241","373","64.6","2,524","6.8","17","6","29","25","102","1","2","9","177.1","19.7","47.5%"
"6","Jared Goff (DET)","214","333","64.3","2,602","7.8","18","4","23","8","22","0","3","9","168.4","18.7","90.3%"
"7","Drake Maye (NE)","170","248","68.5","2,177","8.8","15","5","19","47","159","2","2","8","168.0","21.0","97.7%"
"8","Dak Prescott (DAL)","193","299","64.5","2,413","8.1","14","5","21","26","91","1","1","8","164.7","20.6","91.9%"
"9","Brock Purdy (SF)","130","184","70.7","1,454","7.9","16","5","6","24","96","3","1","6","142.7","23.8","88.2%"
"10","Bo Nix (DEN)","195","304","64.1","1,987","6.5","10","6","10","36","136","2","1","8","139.1","17.4","89.9%"
"11","Tyler Shough (NO)","181","260","69.6","1,997","7.7","9","4","25","39","140","2","2","8","135.9","17.0","25.9%"
"12","Justin Herbert (LAC)","139","216","64.4","1,587","7.3","10","6","32","46","250","2","1","8","132.4","16.6","89.6%"
"13","Jalen Hurts (PHI)","143","239","59.8","1,547","6.5","10","5","7","47","214","3","3","8","130.3","16.3","99.3%"
"14","Sam Darnold (SEA)","172","259","66.4","2,096","8.1","13","10","16","19","45","0","4","9","126.4","14.0","43.1%"
"15","Baker Mayfield (TB)","155","252","61.5","1,571","6.2","12","8","17","29","193","1","2","8","126.1","15.8","92.1%"
"16","Jaxson Dart (NYG)","109","165","66.1","1,058","6.4","5","2","14","38","260","5","1","6","116.3","19.4","76.9%"
"17","Bryce Young (CAR)","142","219","64.8","1,457","6.7","10","5","16","34","148","1","1","8","114.1","14.3","22.9%"
"18","Cam Ward (TEN)","162","263","61.6","1,502","5.7","10","1","21","21","108","1","2","8","111.8","14.0","10.0%"
"19","Jordan Love (GB)","140","226","61.9","1,583","7.0","10","4","11","22","90","0","1","8","108.4","13.6","73.2%"
"20","Geno Smith (LV)","169","246","68.7","1,608","6.5","12","7","36","19","37","0","1","8","106.9","13.4","12.8%"
"21","Lamar Jackson (BAL)","113","189","59.8","1,442","7.6","8","5","18","42","174","1","2","8","106.0","13.3","95.6%"
"22","Joe Burrow (CIN)","123","184","66.8","1,384","7.5","12","4","10","10","21","0","0","5","101.5","20.3","96.8%"
"23","J.J. McCarthy (MIN)","102","179","57.0","1,149","6.4","9","9","18","28","124","3","1","7","101.3","14.5","30.4%"
"24","Patrick Mahomes II (KC)","126","220","57.3","1,488","6.8","5","7","20","18","142","1","0","6","95.7","16.0","74.8%"
"25","Aaron Rodgers (PIT)","154","243","63.4","1,539","6.3","7","2","15","9","23","1","1","8","92.9","11.6","31.3%"
"26","Kirk Cousins (ATL)","122","199","61.3","1,339","6.7","9","4","8","9","5","1","1","7","90.1","12.9","13.7%"
"27","Shedeur Sanders (CLE)","109","190","57.4","1,289","6.8","7","10","17","18","143","1","0","7","90.0","12.9","16.0%"
"28","C.J. Stroud (HOU)","104","168","61.9","1,249","7.4","7","3","8","19","27","0","0","6","77.7","13.0","65.8%"
"29","Marcus Mariota (WAS)","83","139","59.7","1,056","7.6","6","3","9","32","175","0","2","7","76.7","11.0","13.8%"
"30","Daniel Jones (IND)","88","141","62.4","1,039","7.4","6","5","13","15","78","1","3","5","68.3","13.7","28.2%"
"31","Davis Mills (HOU)","86","146","58.9","856","5.9","5","1","8","9","45","1","0","4","65.8","16.5","1.8%"
"32","Tua Tagovailoa (MIA)","101","153","66.0","1,142","7.5","5","5","14","9","5","0","0","6","61.1","10.2","18.8%"
"33","Joe Flacco (CIN)","77","130","59.2","880","6.8","6","4","5","7","3","0","1","5","55.6","11.1","11.2%"
"34","Malik Willis (GB)","30","35","85.7","422","12.1","3","0","3","22","123","2","1","4","51.1","12.8","2.1%"
"35","Jameis Winston (NYG)","37","66","56.1","567","8.6","2","2","3","7","23","1","1","3","44.2","14.7","1.9%"
"36","Michael Penix Jr. (ATL)","47","81","58.0","573","7.1","4","0","4","4","27","0","1","3","41.6","13.9","8.1%"
"37","Mac Jones (SF)","52","63","82.5","554","8.8","5","1","2","13","3","0","1","5","39.5","7.9","2.7%"
"38","Philip Rivers (IND)","58","92","63.0","544","5.9","4","3","5","2","-1","0","0","3","34.7","11.6","9.1%"
"39","Tyrod Taylor (NYJ)","37","65","56.9","400","6.2","2","2","5","13","63","1","0","3","34.3","11.4","6.4%"
"40","Justin Fields (NYJ)","21","37","56.8","170","4.6","2","1","5","18","95","1","1","2","27.3","13.7","20.6%"
"41","Brady Cook (NYJ)","77","131","58.8","679","5.2","1","7","18","10","42","0","1","4","26.3","6.6","0.8%"
"42","Quinn Ewers (MIA)","34","52","65.4","432","8.3","2","2","2","6","10","0","0","2","23.7","11.9","2.8%"
"43","Dillon Gabriel (CLE)","25","43","58.1","235","5.5","2","0","8","7","56","0","0","4","23.0","5.8","1.5%"
"44","Jayden Daniels (WAS)","25","42","59.5","231","5.5","0","2","5","14","67","1","0","2","19.9","10.0","57.1%"
"45","Tyler Huntley (BAL)","25","30","83.3","172","5.7","1","0","2","13","59","0","0","3","16.8","5.6","0.8%"
"46","Mason Rudolph (PIT)","36","50","72.0","298","6.0","2","2","2","4","6","0","1","3","16.5","5.5","0.8%"
"47","Chris Oladokun (KC)","24","38","63.2","177","4.7","1","0","5","4","18","0","0","2","12.8","6.4","0.3%"
"48","Kenny Pickett (LV)","25","39","64.1","177","4.5","1","1","6","3","13","0","0","4","11.4","2.9","1.3%"
"49","Riley Leonard (IND)","18","31","58.1","145","4.7","0","2","1","2","5","1","0","3","10.3","3.4","0.7%"
"50","Josh Johnson (WAS)","20","32","62.5","241","7.5","0","1","2","3","10","0","0","4","9.6","2.4","1.0%"
"51","Max Brosmer (MIN)","35","55","63.6","229","4.2","0","4","12","6","12","0","0","3","6.3","2.1","0.8%"
"52","Russell Wilson (NYG)","3","7","42.9","45","6.4","0","0","2","2","12","0","0","1","3.0","3.0","1.9%"
"53","Teddy Bridgewater (TB)","8","15","53.3","62","4.1","0","0","2","2","5","0","0","2","3.0","1.5","0.8%"
"54","Trey Lance (LAC)","4","9","44.4","46","5.1","0","0","1","7","5","0","0","2","2.4","1.2","0.9%"
"55","Tanner McKee (PHI)","3","3","100.0","33","11.0","0","0","0","3","7","0","0","2","2.0","1.0","1.5%"
"56","Gardner Minshew II (KC)","6","13","46.2","37","2.8","0","1","0","1","8","0","0","2","1.3","0.7","1.8%"
"57","Joshua Dobbs (NE)","3","4","75.0","30","7.5","0","0","0","2","-1","0","0","1","1.1","1.1","1.0%"
"58","Tyson Bagent (CHI)","1","1","100.0","20","20.0","0","0","0","0","0","0","0","2","0.8","0.4","0.6%"
"59","Jake Browning (CIN)","1","1","100.0","14","14.0","0","0","0","0","0","0","0","1","0.6","0.6","0.9%"
"60","Mitchell Trubisky (BUF)","0","0","0","0","0","0","0","0","1","4","0","0","1","0.4","0.4","0.6%"
"61","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","1","2","0","0","7","0.2","0.0","0.0%"
"62","Malik Cunningham (DET)","0","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","1.1%"
"63","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
