"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","319","460","69.3","3,668","8.0","25","10","40","112","579","14","3","16","374.5","23.4","99.6%"
"2","Drake Maye (NE)","340","474","71.7","4,203","8.9","30","8","47","98","409","4","3","16","343.2","21.5","97.7%"
"3","Matthew Stafford (LAR)","363","557","65.2","4,448","8.0","42","8","22","28","-2","0","3","16","331.6","20.7","93.9%"
"4","Trevor Lawrence (JAC)","319","530","60.2","3,752","7.1","26","12","39","80","348","9","3","16","326.8","20.4","76.4%"
"5","Dak Prescott (DAL)","397","589","67.4","4,482","7.6","30","10","31","51","178","2","1","16","323.1","20.2","91.9%"
"6","Caleb Williams (CHI)","310","535","57.9","3,730","7.0","25","6","23","76","382","3","1","16","305.7","19.1","79.4%"
"7","Bo Nix (DEN)","374","589","63.5","3,790","6.4","25","11","18","75","307","5","2","16","305.3","19.1","89.9%"
"8","Jalen Hurts (PHI)","294","454","64.8","3,224","7.1","25","6","32","105","421","8","4","16","305.0","19.1","99.3%"
"9","Justin Herbert (LAC)","340","512","66.4","3,727","7.3","26","13","54","83","498","2","2","16","299.8","18.7","89.6%"
"10","Patrick Mahomes II (KC)","315","502","62.7","3,587","7.1","22","11","34","64","422","5","0","14","295.7","21.1","74.8%"
"11","Jared Goff (DET)","366","536","68.3","4,233","7.9","33","7","36","19","45","0","5","16","288.9","18.1","90.3%"
"12","Baker Mayfield (TB)","327","521","62.8","3,490","6.7","25","10","34","51","351","1","3","16","268.7","16.8","92.1%"
"13","Jordan Love (GB)","291","439","66.3","3,381","7.7","23","6","21","47","199","0","2","15","241.3","16.1","73.2%"
"14","Sam Darnold (SEA)","303","451","67.2","3,850","8.5","25","14","25","29","86","0","6","16","240.6","15.0","43.1%"
"15","Daniel Jones (IND)","261","384","68.0","3,101","8.1","19","8","22","45","164","5","3","13","234.4","18.0","28.2%"
"16","Jaxson Dart (NYG)","194","307","63.2","2,042","6.7","13","5","31","81","455","9","2","13","226.1","17.4","76.9%"
"17","Jacoby Brissett (ARI)","293","454","64.5","3,123","6.9","21","7","37","35","149","1","3","13","218.8","16.8","47.5%"
"18","Aaron Rodgers (PIT)","296","451","65.6","3,028","6.7","23","7","27","20","41","1","1","15","215.4","14.4","31.3%"
"19","Bryce Young (CAR)","280","443","63.2","2,745","6.2","21","10","27","52","217","2","4","15","211.5","14.1","22.9%"
"20","Lamar Jackson (BAL)","181","284","63.7","2,311","8.1","18","6","33","63","340","2","3","12","200.4","16.7","95.6%"
"21","C.J. Stroud (HOU)","259","400","64.8","2,872","7.2","18","8","23","46","204","0","0","13","199.4","15.3","65.8%"
"22","Geno Smith (LV)","302","448","67.4","3,025","6.8","19","17","55","41","109","0","1","15","190.9","12.7","12.8%"
