"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Lamar Jackson (BAL)","300","442","67.9","3,955","8.9","39","4","23","130","852","4","5","16","411.4","25.7","95.6%"
"2","Josh Allen (BUF)","307","483","63.6","3,731","7.7","28","6","14","102","531","12","2","16","385.1","24.1","99.6%"
"3","Joe Burrow (CIN)","423","606","69.8","4,641","7.7","42","8","44","41","202","2","5","16","367.9","23.0","96.8%"
"4","Jayden Daniels (WAS)","325","468","69.4","3,530","7.5","25","9","43","144","864","6","0","16","360.5","22.5","57.1%"
"5","Baker Mayfield (TB)","386","538","71.7","4,279","8.0","39","15","39","51","310","3","2","16","359.2","22.5","92.1%"
"6","Jared Goff (DET)","363","506","71.7","4,398","8.7","36","10","29","35","56","0","0","16","324.3","20.3","90.3%"
"7","Jalen Hurts (PHI)","248","361","68.7","2,903","8.0","18","5","38","150","630","14","5","15","320.0","21.3","99.3%"
"8","Sam Darnold (SEA)","343","504","68.1","4,153","8.2","35","12","46","64","202","1","4","16","312.2","19.5","43.1%"
"9","Bo Nix (DEN)","350","538","65.1","3,454","6.4","25","12","24","85","383","4","0","16","294.6","18.4","89.9%"
"10","Patrick Mahomes II (KC)","392","581","67.5","3,928","6.8","26","11","36","58","307","2","0","16","292.9","18.3","74.8%"
"11","Kyler Murray (ARI)","347","506","68.6","3,609","7.1","17","11","30","75","550","5","4","16","280.5","17.5","47.7%"
"12","Brock Purdy (SF)","300","455","65.9","3,864","8.5","20","12","31","66","323","5","3","15","279.0","18.6","88.2%"
"13","Justin Herbert (LAC)","304","468","65.0","3,524","7.5","21","3","40","65","264","2","2","16","260.6","16.3","89.6%"
"14","Geno Smith (LV)","387","551","70.2","4,097","7.4","17","15","48","51","258","2","0","16","254.8","15.9","12.8%"
"15","Caleb Williams (CHI)","330","533","61.9","3,393","6.4","19","6","67","78","479","0","5","16","249.6","15.6","79.4%"
"16","Jordan Love (GB)","261","413","63.2","3,320","8.0","25","11","14","25","83","1","0","14","242.1","17.3","73.2%"
