"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Bijan Robinson (ATL)","166","896","5.4","93","5","5","58","43","397","9.2","2","2","9","169.3","18.8","99.8%"
"2","Christian McCaffrey (SF)","163","689","4.2","41","3","7","48","40","331","8.3","4","0","8","168.0","21.0","99.8%"
"3","Derrick Henry (BAL)","178","959","5.4","59","11","10","11","10","106","10.6","0","1","9","164.5","18.3","99.7%"
"4","Jahmyr Gibbs (DET)","120","617","5.1","69","5","7","61","48","389","8.1","3","1","9","158.6","17.6","99.9%"
"5","James Cook III (BUF)","181","853","4.7","45","4","5","26","21","202","9.6","2","3","9","141.5","15.7","99.5%"
"6","Travis Etienne Jr. (JAC)","149","561","3.8","45","4","5","29","21","206","9.8","5","0","9","136.7","15.2","95.3%"
"7","De'Von Achane (MIA)","131","811","6.2","59","8","5","35","30","253","8.4","0","0","8","136.4","17.1","99.7%"
"8","Kyren Williams (LAR)","140","720","5.1","34","4","8","19","13","94","7.2","0","0","9","129.4","14.4","99.4%"
"9","Chase Brown (CIN)","122","564","4.6","35","3","4","51","40","293","7.3","3","0","8","127.7","16.0","98.7%"
"10","Jonathan Taylor (IND)","166","709","4.3","83","3","6","26","19","159","8.4","0","1","8","120.8","15.1","99.6%"
"11","TreVeyon Henderson (NE)","114","630","5.5","69","5","6","24","19","122","6.4","1","0","8","117.2","14.7","95.8%"
"12","Jaylen Warren (PIT)","114","519","4.6","45","4","6","18","16","105","6.6","1","0","9","104.4","11.6","91.8%"
"13","Ashton Jeanty (LV)","129","443","3.4","51","2","2","48","37","253","6.8","3","0","9","99.6","11.1","98.8%"
"14","D'Andre Swift (CHI)","113","583","5.2","25","3","5","22","15","99","6.6","0","1","8","96.2","12.0","94.3%"
"15","RJ Harvey (DEN)","87","312","3.6","38","1","5","33","28","236","8.4","2","1","8","94.8","11.9","92.9%"
"16","Kyle Monangai (CHI)","121","583","4.8","39","2","4","20","11","88","8.0","0","0","9","93.1","10.3","66.7%"
"17","Zach Charbonnet (SEA)","95","451","4.7","30","4","6","13","11","85","7.7","0","0","9","91.6","10.2","75.6%"
"18","Saquon Barkley (PHI)","153","621","4.1","52","2","3","22","13","114","8.8","0","1","8","91.5","11.4","99.8%"
"19","Kenneth Gainwell (PIT)","60","306","5.1","55","2","1","50","42","338","8.0","3","0","9","88.4","9.8","79.5%"
"20","Rico Dowdle (CAR)","123","461","3.7","29","1","4","31","24","156","6.5","0","0","8","85.7","10.7","70.9%"
"21","Josh Jacobs (GB)","110","482","4.4","40","3","4","21","17","91","5.4","1","2","8","83.3","10.4","98.9%"
"22","Javonte Williams (DAL)","128","568","4.4","21","2","3","17","11","44","4.0","1","1","8","83.2","10.4","96.0%"
"23","Tony Pollard (TEN)","119","610","5.1","65","5","3","16","12","58","4.8","0","1","8","82.8","10.4","87.8%"
"24","Breece Hall (NYJ)","126","484","3.8","59","3","2","18","15","172","11.5","1","1","8","81.6","10.2","96.7%"
"25","Kenneth Walker III (SEA)","110","500","4.5","55","4","2","23","19","185","9.7","0","0","9","80.5","8.9","95.8%"
"26","Blake Corum (LAR)","91","494","5.4","48","4","5","5","3","11","3.7","0","0","9","80.5","8.9","48.4%"
"27","Tyrone Tracy Jr. (NYG)","113","478","4.2","23","1","1","23","18","164","9.1","1","0","8","76.2","9.5","85.8%"
"28","Aaron Jones Sr. (MIN)","114","487","4.3","31","1","2","33","23","140","6.1","0","1","9","72.7","8.1","88.0%"
"29","Devin Singletary (NYG)","82","327","4.0","29","2","4","15","15","123","8.2","0","0","8","69.0","8.6","33.0%"
"30","Woody Marks (HOU)","129","441","3.4","21","1","1","15","9","43","4.8","1","0","8","66.4","8.3","79.2%"
"31","Sean Tucker (TB)","59","248","4.2","43","1","5","7","4","36","9.0","1","0","8","64.4","8.1","14.7%"
"32","David Montgomery (DET)","72","319","4.4","35","1","4","15","12","83","6.9","0","1","9","64.2","7.1","92.3%"
"33","Kareem Hunt (KC)","96","352","3.7","18","0","4","12","7","65","9.3","0","1","8","63.7","8.0","49.1%"
"34","Jacory Croskey-Merritt (WAS)","80","374","4.7","72","1","4","2","2","8","4.0","0","0","8","62.2","7.8","50.3%"
"35","Tyler Allgeier (ATL)","75","291","3.9","15","0","4","8","8","73","9.1","0","0","9","60.4","6.7","36.1%"
"36","Quinshon Judkins (CLE)","112","341","3.0","17","0","2","21","14","111","7.9","0","0","7","59.2","8.5","76.5%"
"37","Kimani Vidal (LAC)","98","352","3.6","59","1","2","9","6","98","16.3","0","0","7","57.0","8.1","56.1%"
"38","Chris Rodriguez Jr. (WAS)","69","316","4.6","20","1","4","3","2","12","6.0","0","0","6","56.8","9.5","39.1%"
