Rank,Player,ATT,YDS,Y/A,LG,20+,TD,TGT,REC,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Jonathan Taylor (IND),309,1559.00,5,83,9,18,53,44,365,8.3,2,1,16,312.4,19.5,99.60%
2,Christian McCaffrey (SF),303,1179.00,3.9,41,3,10,122,96,890,9.3,7,0,16,308.9,19.3,99.80%
3,Bijan Robinson (ATL),272,1445.00,5.3,93,8,7,100,76,810,10.7,4,3,16,287.5,18,99.80%
4,Jahmyr Gibbs (DET),224,1143.00,5.1,78,10,13,89,74,583,7.9,4,1,16,272.6,17,99.90%
5,James Cook III (BUF),307,1606.00,5.2,64,9,12,40,33,291,8.8,2,3,16,267.7,16.7,99.50%
6,De'Von Achane (MIA),238,1350.00,5.7,59,13,8,85,67,488,7.3,4,0,16,255.8,16,99.70%
7,Derrick Henry (BAL),287,1469.00,5.1,59,15,16,20,15,150,10,0,3,16,251.9,15.7,99.70%
8,Kyren Williams (LAR),247,1192.00,4.8,34,5,10,45,33,260,7.9,3,2,16,219.2,13.7,99.40%
9,Travis Etienne Jr. (JAC),246,1075.00,4.4,71,7,7,51,35,286,8.2,6,0,16,214.1,13.4,95.30%
10,Javonte Williams (DAL),252,1201.00,4.8,66,6,11,51,35,137,3.9,2,2,16,207.8,13,96.00%
11,Josh Jacobs (GB),234,929.00,4,40,3,13,44,36,282,7.8,1,2,15,201.1,13.4,98.90%
12,Chase Brown (CIN),219,947.00,4.3,37,6,6,82,65,419,6.4,4,0,16,198.6,12.4,98.70%
13,Saquon Barkley (PHI),280,1140.00,4.1,65,4,7,50,37,273,7.4,2,1,16,195.3,12.2,99.80%
14,D'Andre Swift (CHI),213,1047.00,4.9,25,5,9,46,33,291,8.8,1,2,15,189.8,12.7,94.30%
15,Ashton Jeanty (LV),240,888.00,3.7,64,3,5,68,52,339,6.5,5,1,16,180.7,11.3,98.80%
16,Rico Dowdle (CAR),229,1066.00,4.7,53,5,6,48,37,277,7.5,1,0,16,176.3,11,70.90%
17,Breece Hall (NYJ),243,1065.00,4.4,59,8,4,48,36,350,9.7,1,2,16,171.7,10.7,96.70%
18,Jaylen Warren (PIT),197,892.00,4.5,45,6,6,40,35,300,8.6,2,0,15,167.2,11.1,91.80%
19,RJ Harvey (DEN),131,512.00,3.9,50,3,7,54,46,351,7.6,5,1,16,156.3,9.8,92.90%
20,TreVeyon Henderson (NE),167,858.00,5.1,69,6,7,42,35,221,6.3,1,1,16,153.9,9.6,95.80%
21,Kenneth Walker III (SEA),205,930.00,4.5,55,9,5,32,27,246,9.1,0,0,16,147.6,9.2,95.80%
22,Tony Pollard (TEN),228,1034.00,4.5,65,6,5,38,30,189,6.3,0,3,16,146.3,9.1,87.80%
23,Zach Charbonnet (SEA),167,656.00,3.9,30,4,11,20,17,121,7.1,0,0,15,145.7,9.7,75.60%
24,Quinshon Judkins (CLE),230,827.00,3.6,46,4,7,36,26,171,6.6,0,0,14,143.8,10.3,76.50%
25,David Montgomery (DET),150,674.00,4.5,72,3,8,28,23,179,7.8,0,1,16,137.4,8.6,92.30%
26,Kenneth Gainwell (PIT),109,527.00,4.8,55,2,4,76,65,422,6.5,3,1,16,134.9,8.4,79.50%
27,Jacory Croskey-Merritt (WAS),162,776.00,4.8,72,3,8,13,9,68,7.6,0,2,16,128.4,8,50.30%
28,Kareem Hunt (KC),158,597.00,3.8,33,1,8,21,15,122,8.1,1,1,16,123.9,7.7,49.10%
29,Kyle Monangai (CHI),163,769.00,4.7,39,3,5,29,17,149,8.8,0,0,16,123.8,7.7,66.70%
30,Woody Marks (HOU),186,655.00,3.5,23,2,2,33,22,208,9.5,3,0,15,122.3,8.2,79.20%
