"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (PHI)","345","2,005","5.8","72","17","13","43","33","278","8.4","2","1","16","322.3","20.1","99.8%"
"2","Derrick Henry (BAL)","305","1,783","5.8","87","16","14","19","17","170","10.0","2","1","16","289.3","18.1","99.7%"
"3","Jahmyr Gibbs (DET)","227","1,273","5.6","70","11","13","58","47","486","10.3","3","1","16","269.9","16.9","99.9%"
"4","Bijan Robinson (ATL)","276","1,286","4.7","37","4","12","67","59","428","7.3","1","0","16","251.4","15.7","99.8%"
"5","Josh Jacobs (GB)","295","1,285","4.4","38","7","14","42","35","340","9.7","1","3","16","246.5","15.4","98.9%"
"6","Kyren Williams (LAR)","316","1,299","4.1","30","2","14","40","34","182","5.4","2","3","16","238.1","14.9","99.4%"
"7","James Cook III (BUF)","197","981","5.0","65","6","15","38","32","258","8.1","2","0","15","225.9","15.1","99.5%"
"8","James Conner (ARI)","236","1,094","4.6","53","6","8","55","47","414","8.8","1","1","16","206.8","12.9","45.4%"
"9","De'Von Achane (MIA)","192","786","4.1","50","3","5","87","78","592","7.6","6","0","16","203.8","12.7","99.7%"
"10","Jonathan Taylor (IND)","269","1,254","4.7","70","11","10","29","17","133","7.8","1","1","13","202.7","15.6","99.6%"
"11","Joe Mixon (HOU)","240","993","4.1","59","8","11","51","35","304","8.7","1","0","13","201.7","15.5","45.7%"
"12","Chase Brown (CIN)","229","990","4.3","40","8","7","65","54","360","6.7","4","1","16","201.0","12.6","98.7%"
"13","Chuba Hubbard (CAR)","250","1,195","4.8","38","8","10","54","43","171","4.0","1","3","15","198.6","13.2","65.3%"
"14","Alvin Kamara (NO)","228","950","4.2","24","3","6","89","68","543","8.0","2","0","14","197.3","14.1","86.4%"
"15","David Montgomery (DET)","185","775","4.2","21","1","12","38","36","341","9.5","0","1","14","185.7","13.3","92.3%"
"16","Aaron Jones Sr. (MIN)","245","1,093","4.5","41","3","5","56","46","378","8.2","2","3","16","183.1","11.4","88.0%"
"17","Bucky Irving (TB)","188","1,033","5.5","56","7","7","47","45","397","8.8","0","1","16","183.0","11.4","98.2%"
"18","Breece Hall (NYJ)","197","819","4.2","42","3","5","71","54","468","8.7","2","2","15","168.7","11.2","96.7%"
"19","D'Andre Swift (CHI)","233","894","3.8","56","5","5","50","42","386","9.2","0","0","16","160.0","10.0","94.3%"
"20","Najee Harris (LAC)","251","1,007","4.0","36","9","5","43","32","263","8.2","0","0","16","157.0","9.8","7.2%"
"21","Tony Pollard (TEN)","238","1,017","4.3","41","6","5","57","41","238","5.8","0","2","15","153.5","10.2","87.8%"
"22","J.K. Dobbins (DEN)","177","842","4.8","61","6","9","35","29","141","4.9","0","0","12","152.3","12.7","52.4%"
"23","Rachaad White (TB)","144","613","4.3","56","2","3","57","51","393","7.7","6","3","15","148.6","9.9","53.1%"
"24","Rico Dowdle (CAR)","213","1,007","4.7","27","2","1","46","37","237","6.4","3","2","15","144.4","9.6","70.9%"
"25","Rhamondre Stevenson (NE)","207","801","3.9","33","2","7","41","33","168","5.1","1","3","15","142.9","9.5","78.2%"
"26","Brian Robinson Jr. (SF)","182","789","4.3","40","4","8","24","19","153","8.1","0","2","13","138.2","10.6","44.3%"
"27","Tyrone Tracy Jr. (NYG)","178","780","4.4","45","6","5","51","36","277","7.7","1","2","16","137.7","8.6","85.8%"
"28","Zach Charbonnet (SEA)","121","510","4.2","51","3","8","52","42","308","7.3","1","0","16","135.8","8.5","75.6%"
"29","Kenneth Walker III (SEA)","153","573","3.7","28","5","7","53","46","299","6.5","1","0","11","135.2","12.3","95.8%"
"30","Kareem Hunt (KC)","200","728","3.6","20","1","7","32","23","176","7.7","0","0","13","132.4","10.2","49.1%"
"31","Tank Bigsby (PHI)","154","727","4.7","65","4","6","11","6","51","8.5","0","1","15","111.8","7.5","32.7%"
"32","Jordan Mason (MIN)","153","789","5.2","38","9","3","14","11","91","8.3","0","1","12","104.0","8.7","66.6%"
"33","Alexander Mattison (MIA)","126","400","3.2","24","1","4","43","32","283","8.8","1","1","13","98.3","7.6","0.6%"
"34","Javonte Williams (DAL)","134","485","3.6","20","1","4","66","49","296","6.0","0","2","16","98.1","6.1","96.0%"
"35","Jerome Ford (CLE)","104","565","5.4","66","5","3","43","37","225","6.1","0","0","14","97.0","6.9","19.2%"
"36","Austin Ekeler (WAS)","74","355","4.8","50","4","4","39","33","346","10.5","0","0","11","94.1","8.6","31.3%"
"37","Ray Davis (BUF)","98","378","3.9","22","1","3","16","15","188","12.5","2","0","16","86.6","5.4","6.8%"
"38","Tyler Allgeier (ATL)","128","592","4.6","25","4","3","11","11","71","6.5","0","0","16","86.3","5.4","36.1%"
"39","Travis Etienne Jr. (JAC)","137","527","3.8","22","2","2","47","36","225","6.3","0","1","14","85.2","6.1","95.3%"
"40","Ameer Abdullah (IND)","66","311","4.7","40","1","2","47","40","261","6.5","3","1","15","85.2","5.7","0.8%"
"41","Justice Hill (BAL)","47","228","4.9","51","2","1","51","42","383","9.1","3","0","15","85.1","5.7","8.9%"
"42","Jaylen Warren (PIT)","114","490","4.3","22","1","1","46","38","310","8.2","0","1","14","84.0","6.0","91.8%"
"43","Tyjae Spears (TEN)","84","312","3.7","23","1","4","35","30","224","7.5","1","0","12","83.6","7.0","39.4%"
"44","Isaac Guerendo (SF)","82","415","5.1","76","2","4","16","15","152","10.1","0","1","15","78.7","5.2","2.8%"
"45","Antonio Gibson (NE)","108","497","4.6","45","4","1","23","19","186","9.8","0","0","16","74.3","4.6","1.3%"
"46","Devin Singletary (NYG)","106","415","3.9","43","2","4","23","20","124","6.2","0","2","15","73.9","4.9","33.0%"
"47","Ty Johnson (BUF)","39","200","5.1","19","0","1","23","17","284","16.7","3","0","16","72.4","4.5","4.0%"
"48","Cam Akers (SEA)","98","379","3.9","25","1","2","16","12","64","5.3","3","1","15","72.3","4.8","0.7%"
"49","Emanuel Wilson (GB)","89","429","4.8","19","0","3","13","10","50","5.0","1","0","16","71.9","4.5","39.6%"
"50","Jaleel McLaughlin (DEN)","97","457","4.7","21","1","1","25","22","67","3.0","2","1","15","68.4","4.6","1.9%"
"51","Braelon Allen (NYJ)","88","319","3.6","20","1","2","24","17","140","8.2","1","0","16","63.9","4.0","10.9%"
"52","Gus Edwards (FA)","101","365","3.6","43","1","4","5","3","6","2.0","0","0","11","61.1","5.6","1.0%"
"53","Roschon Johnson (CHI)","53","147","2.8","9","0","6","15","11","88","8.0","0","0","12","59.5","5.0","1.8%"
"54","Zack Moss (FA)","74","242","3.3","16","0","2","27","23","187","8.1","1","1","9","58.9","6.5","1.9%"
"55","Nick Chubb (HOU)","102","332","3.3","19","0","3","11","5","31","6.2","1","1","8","58.3","7.3","36.1%"
"56","Sean Tucker (TB)","48","292","6.1","36","2","2","12","9","109","12.1","1","0","16","58.1","3.6","14.7%"
"57","Jeremy McNichols (WAS)","55","261","4.7","28","2","4","12","9","27","3.0","0","0","16","54.8","3.4","2.1%"
"58","Samaje Perine (CIN)","19","91","4.8","13","0","1","34","27","309","11.4","1","0","16","52.0","3.3","4.7%"
