"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jaxon Smith-Njigba (SEA)","155","36","113","1,709","15.1","27","10","7","36","0","1","16","232.5","14.5","99.6%"
"2","Puka Nacua (LAR)","155","28.6","119","1,639","13.8","27","9","8","81","1","1","15","230.0","15.3","99.8%"
"3","George Pickens (DAL)","134","22.7","92","1,420","15.4","22","9","0","0","0","0","16","198.0","12.4","97.8%"
"4","Amon-Ra St. Brown (DET)","157","30.6","106","1,262","11.9","17","11","3","9","0","0","16","193.1","12.1","99.7%"
"5","Ja'Marr Chase (CIN)","175","30.8","117","1,316","11.2","13","7","3","14","0","1","15","173.0","11.5","99.8%"
"6","Chris Olave (NO)","156","29.5","100","1,163","11.6","11","9","1","-3","0","0","16","169.0","10.6","93.8%"
"7","Davante Adams (LAR)","114","21.2","60","789","13.2","14","14","0","0","0","0","14","162.9","11.6","95.8%"
"8","Nico Collins (HOU)","120","23","71","1,117","15.7","18","6","2","15","1","1","15","155.2","10.3","99.2%"
"9","Jameson Williams (DET)","94","18.6","59","1,043","17.7","22","7","6","12","0","0","16","147.5","9.2","95.9%"
"10","Courtland Sutton (DEN)","122","21.8","73","1,012","13.9","17","7","0","0","0","0","16","145.2","9.1","94.9%"
"11","A.J. Brown (PHI)","121","28.2","78","1,003","12.9","14","7","0","0","0","0","15","142.3","9.5","99.0%"
"12","Tee Higgins (CIN)","89","15.8","53","779","14.7","13","10","0","0","0","0","14","139.9","10.0","98.1%"
"13","Tetairoa McMillan (CAR)","116","25.8","66","929","14.1","16","7","0","0","0","0","16","134.9","8.4","95.4%"
"14","Emeka Egbuka (TB)","124","23.9","62","930","15.0","20","6","2","9","0","0","16","131.9","8.2","92.9%"
"15","Zay Flowers (BAL)","112","28.8","82","1,073","13.1","17","3","10","62","1","3","16","131.5","8.2","96.5%"
"16","Jaylen Waddle (MIA)","100","23","64","910","14.2","14","6","2","28","0","0","16","130.1","8.1","95.3%"
"17","DK Metcalf (PIT)","99","21","59","850","14.4","15","6","2","12","1","0","15","128.2","8.5","87.1%"
"18","Michael Wilson (ARI)","118","20","73","907","12.4","11","6","0","0","0","0","16","126.7","7.9","88.6%"
"19","Wan'Dale Robinson (NYG)","140","29.9","92","1,014","11.0","14","4","3","5","0","0","16","125.9","7.9","65.1%"
"20","CeeDee Lamb (DAL)","116","19.9","74","1,073","14.5","16","3","1","2","0","0","13","125.5","9.7","99.8%"
"21","Michael Pittman Jr. (IND)","107","21.4","78","773","9.9","5","7","0","0","0","0","16","121.3","7.6","85.1%"
"22","Stefon Diggs (NE)","99","21.7","82","970","11.8","16","4","0","0","0","0","16","121.0","7.6","93.8%"
"23","Quentin Johnston (LAC)","85","17","51","735","14.4","13","8","2","7","0","1","14","120.2","8.6","48.6%"
"24","Drake London (ATL)","104","21.1","64","841","13.1","12","6","0","0","0","1","11","120.1","10.9","99.0%"
"25","DeVonta Smith (PHI)","109","25.7","74","956","12.9","13","4","0","0","0","0","16","119.6","7.5","95.3%"
"26","DJ Moore (CHI)","82","16.4","49","671","13.7","12","6","15","79","1","1","16","119.1","7.4","87.1%"
"27","Ladd McConkey (LAC)","106","21.2","66","789","12.0","8","6","0","0","0","0","16","114.9","7.2","96.6%"
"28","Jauan Jennings (SF)","84","16","51","608","11.9","9","9","0","0","0","1","14","114.8","8.2","87.5%"
"29","Deebo Samuel Sr. (WAS)","94","22.9","70","707","10.1","10","5","15","74","1","0","15","114.1","7.6","91.2%"
"30","Troy Franklin (DEN)","103","18.3","65","709","10.9","9","6","5","12","0","1","16","112.1","7.0","54.4%"
"31","Parker Washington (JAC)","86","16.7","53","760","14.3","14","4","7","0","0","0","15","112.0","7.5","24.7%"
"32","Alec Pierce (IND)","77","15.4","43","871","20.3","15","4","0","0","0","0","14","111.1","7.9","41.2%"
"33","Romeo Doubs (GB)","85","18.9","55","724","13.2","12","6","0","0","0","0","16","110.4","6.9","51.0%"
"34","Justin Jefferson (MIN)","130","29.7","76","947","12.5","12","2","1","4","0","0","16","107.1","6.7","99.3%"
"35","Rome Odunze (CHI)","90","18","44","661","15.0","13","6","0","0","0","0","12","102.1","8.5","82.2%"
"36","Tre Tucker (LV)","86","18.3","55","666","12.1","9","5","10","47","0","0","16","101.3","6.3","46.9%"
"37","Keenan Allen (LAC)","109","21.8","74","741","10.0","6","4","0","0","0","0","16","98.1","6.1","73.5%"
"38","Christian Watson (GB)","55","12.2","35","611","17.5","11","6","1","3","0","0","10","97.4","9.7","49.9%"
"39","Rashid Shaheed (SEA)","91","21.3","58","685","11.8","6","2","9","69","0","1","17","97.4","5.7","56.2%"
"40","Rashee Rice (KC)","78","14.9","53","571","10.8","9","5","5","20","1","0","8","97.1","12.1","87.3%"
"41","Jakobi Meyers (JAC)","104","20.4","70","791","11.3","10","3","5","13","0","1","15","96.4","6.4","86.0%"
"42","Khalil Shakir (BUF)","95","21.2","72","719","10.0","8","4","1","5","0","1","16","94.4","5.9","81.3%"
"43","Jordan Addison (MIN)","76","17.3","41","602","14.7","11","3","2","81","1","0","13","92.3","7.1","81.4%"
"44","Kayshon Boutte (NE)","42","9.2","31","527","17.0","10","6","0","0","0","0","13","88.7","6.8","18.8%"
"45","Marvin Harrison Jr. (ARI)","73","12.2","41","608","14.8","9","4","0","0","0","0","12","86.8","7.2","90.7%"
"46","Brian Thomas Jr. (JAC)","86","17","45","658","14.6","10","2","3","21","1","0","13","85.9","6.6","91.5%"
"47","Marquise Brown (KC)","68","13.4","46","523","11.4","6","5","0","0","0","0","15","82.3","5.5","23.1%"
"48","Jayden Higgins (HOU)","63","12.2","39","502","12.9","5","5","0","0","0","0","16","80.2","5.0","38.6%"
"49","Luther Burden III (CHI)","56","11.2","44","617","14.0","11","2","5","27","0","0","14","76.4","5.5","34.8%"
"50","Chimere Dike (TEN)","70","14","45","396","8.8","5","4","11","18","0","1","16","75.4","4.7","22.4%"
"51","Josh Downs (IND)","84","16.8","54","505","9.4","2","4","1","3","0","1","15","72.8","4.9","55.4%"
"52","Elic Ayomanor (TEN)","79","15.8","38","465","12.2","7","4","0","0","0","0","15","70.5","4.7","13.7%"
"53","Terry McLaurin (WAS)","56","13.8","34","525","15.4","6","3","0","0","0","0","9","70.5","7.8","93.4%"
"54","Jerry Jeudy (CLE)","100","20","48","585","12.2","6","2","0","0","0","1","16","68.5","4.3","71.3%"
"55","Xavier Worthy (KC)","73","14.3","42","532","12.7","9","1","11","87","0","0","14","67.9","4.9","81.1%"
"56","Cooper Kupp (SEA)","67","15.5","45","564","12.5","7","2","0","0","0","1","15","67.4","4.5","59.7%"
"57","Mack Hollins (NE)","65","14.1","46","550","12.0","8","2","1","4","0","0","15","67.4","4.5","3.8%"
"58","Ryan Flournoy (DAL)","49","8.2","35","407","11.6","4","4","4","25","0","0","14","67.2","4.8","6.6%"
"59","Jalen Nailor (MIN)","50","11.2","26","395","15.2","8","4","2","13","0","0","16","66.8","4.2","3.0%"
"60","Garrett Wilson (NYJ)","59","13.2","36","395","11.0","4","4","0","0","0","0","7","63.5","9.1","79.1%"
"61","Tez Johnson (TB)","43","8.5","27","305","11.3","3","5","7","19","0","0","15","62.4","4.2","15.0%"
"62","DeMario Douglas (NE)","43","9.4","29","418","14.4","6","3","7","21","0","0","16","61.9","3.9","12.3%"
"63","Malik Washington (MIA)","61","13.7","43","311","7.2","2","2","15","88","1","1","16","61.9","3.9","14.4%"
"64","Tyquan Thornton (KC)","37","7.3","19","438","23.1","11","3","0","0","0","0","14","61.8","4.4","1.2%"
"65","Isaac TeSlaa (DET)","26","5.2","15","221","14.7","3","6","0","0","0","0","16","58.1","3.6","7.6%"
"66","KaVontae Turpin (DAL)","37","6.2","26","396","15.2","5","2","16","82","0","1","14","57.8","4.1","3.7%"
"67","Keon Coleman (BUF)","55","12.3","36","355","9.9","4","4","0","0","0","1","12","57.5","4.8","33.3%"
"68","Darius Slayton (NYG)","54","11.5","33","504","15.3","7","1","0","0","0","1","13","56.4","4.3","31.5%"
"69","Andrei Iosivas (CIN)","55","9.7","31","425","13.7","7","2","3","14","0","0","16","55.9","3.5","9.9%"
"70","Kendrick Bourne (SF)","52","10.1","37","551","14.9","5","0","0","0","0","0","15","55.1","3.7","4.0%"
"71","Marvin Mims Jr. (DEN)","48","8.7","35","312","8.9","6","1","12","78","1","1","15","55.0","3.7","27.5%"
"72","Adonai Mitchell (NYJ)","71","15.6","33","453","13.7","6","2","1","-4","0","1","15","54.9","3.7","31.3%"
"73","Xavier Hutchinson (HOU)","48","9.5","30","344","11.5","5","3","3","22","0","0","16","54.6","3.4","1.3%"
"74","Ricky Pearsall (SF)","53","10.1","36","528","14.7","9","0","2","-2","0","0","10","52.6","5.3","59.8%"
"75","Tory Horton (SEA)","22","5","13","161","12.4","3","5","0","0","0","0","8","52.1","6.5","4.1%"
"76","Xavier Legette (CAR)","60","13.4","32","341","10.7","7","3","1","0","0","0","14","52.1","3.7","12.4%"
"77","Mike Evans (TB)","59","11.3","28","334","11.9","4","3","0","0","0","0","7","51.4","7.3","93.8%"
"78","Chris Godwin Jr. (TB)","50","9.7","32","352","11.0","5","2","0","0","0","0","8","49.2","6.2","73.7%"
"79","Darnell Mooney (ATL)","65","13.1","29","423","14.6","5","1","0","0","0","0","14","48.3","3.5","53.6%"
"80","Jalen Coker (CAR)","36","7.9","27","347","12.9","6","2","0","0","0","1","10","46.7","4.7","18.2%"
"81","Greg Dortch (ARI)","33","5.4","29","206","7.1","1","3","7","15","1","0","12","46.1","3.8","2.3%"
"82","Dontayvion Wicks (GB)","46","10","30","332","11.1","3","2","1","6","0","0","14","45.8","3.3","3.8%"
"83","Olamide Zaccheaus (CHI)","65","13","39","313","8.0","1","2","4","25","0","0","15","45.8","3.1","3.1%"
"84","DeAndre Hopkins (BAL)","37","9.7","22","330","15.0","5","2","0","0","0","0","16","45.0","2.8","4.3%"
"85","Calvin Austin III (PIT)","48","10.2","28","317","11.3","4","2","0","0","0","0","13","43.7","3.4","9.3%"
"86","Sterling Shepard (TB)","53","10.6","39","371","9.5","5","1","4","19","0","1","13","43.0","3.3","2.6%"
"87","Devaughn Vele (NO)","39","7.3","25","293","11.7","0","2","0","0","0","0","13","41.3","3.2","13.4%"
"88","Jaylin Noel (HOU)","34","6.6","25","279","11.2","6","2","6","12","0","0","16","41.1","2.6","2.3%"
"89","Van Jefferson (TEN)","52","10.4","29","350","12.1","6","1","0","0","0","0","16","41.0","2.6","0.9%"
"90","Pat Bryant (DEN)","44","7.9","27","347","12.9","4","1","0","0","0","0","14","40.7","2.9","4.3%"
"91","Tyler Lockett (LV)","50","10.7","31","286","9.2","2","1","0","0","0","0","16","40.6","2.5","3.6%"
"92","Luke McCaffrey (WAS)","15","3.5","11","203","18.5","3","3","0","0","0","0","9","40.3","4.5","2.1%"
"93","Matthew Golden (GB)","41","9.1","28","353","12.6","7","0","10","49","0","0","13","40.2","3.1","31.8%"
"94","JuJu Smith-Schuster (KC)","43","8.6","31","332","10.7","3","1","0","0","0","0","16","39.2","2.5","1.8%"
"95","Malik Nabers (NYG)","35","7.5","18","271","15.1","5","2","0","0","0","0","4","39.1","9.8","29.7%"
"96","Kyle Williams (NE)","21","4.5","10","209","20.9","3","3","1","-2","0","0","16","38.7","2.4","7.0%"
"97","Kalif Raymond (DET)","27","5.4","21","237","11.3","3","1","2","19","0","0","14","37.6","2.7","0.6%"
"98","John Metchie III (NYJ)","44","9.8","30","254","8.5","1","2","3","-5","0","0","15","36.9","2.5","6.5%"
"99","Cedric Tillman (CLE)","37","7.4","20","247","12.4","5","2","0","0","0","0","12","36.7","3.1","8.4%"
"100","Tre Harris (LAC)","37","7.4","28","296","10.6","3","1","2","10","0","0","16","36.6","2.3","4.3%"
"101","Rashod Bateman (BAL)","38","9.8","19","224","11.8","3","2","0","0","0","0","13","36.4","2.8","12.6%"
"102","Tim Patrick (JAC)","23","4.6","14","183","13.1","4","3","0","0","0","0","15","36.3","2.4","1.1%"
"103","Travis Hunter (JAC)","45","8.9","28","298","10.6","5","1","1","0","0","0","7","35.8","5.1","72.2%"
"104","Isaiah Bond (CLE)","42","8.4","17","325","19.1","6","0","4","25","0","0","15","35.0","2.3","1.6%"
"105","Demarcus Robinson (SF)","31","6.1","19","252","13.3","5","1","1","6","0","0","13","33.8","2.6","1.1%"
"106","Jaylin Lane (WAS)","32","7.7","16","225","14.1","3","0","1","7","0","1","15","33.2","2.2","1.0%"
"107","Tyreek Hill (MIA)","29","6.7","21","265","12.6","4","1","0","0","0","0","4","32.5","8.1","46.5%"
"108","Tyrell Shavers (BUF)","23","4.9","15","245","16.3","6","1","0","0","0","0","16","30.5","1.9","1.0%"
"109","Isaiah Williams (NYJ)","29","6.5","21","169","8.0","1","0","3","34","0","1","14","30.3","2.2","0.6%"
"110","Calvin Ridley (TEN)","36","7.2","17","303","17.8","7","0","0","0","0","0","7","30.3","4.3","25.0%"
"111","Christian Kirk (HOU)","50","9.7","27","242","9.0","3","1","0","0","0","0","12","30.2","2.5","23.8%"
"112","Joshua Palmer (BUF)","34","7.4","21","302","14.4","4","0","0","0","0","0","11","30.2","2.7","5.3%"
"113","David Sills V (ATL)","35","7","17","180","10.6","3","2","0","0","0","0","16","30.0","1.9","0.8%"
"114","Xavier Smith (LAR)","22","4.3","17","297","17.5","5","0","0","0","0","0","15","29.7","2.0","0.6%"
"115","Jayden Reed (GB)","22","4.9","19","207","10.9","4","1","3","28","0","0","6","29.5","4.9","52.7%"
"116","Dyami Brown (JAC)","36","7.2","19","219","11.5","2","1","6","30","0","1","14","28.9","2.1","1.7%"
"117","Jalen Tolbert (DAL)","33","5.6","18","203","11.3","2","1","0","0","0","0","12","28.3","2.4","1.7%"
"118","Jahan Dotson (PHI)","28","6.5","15","222","14.8","4","1","0","0","0","0","16","28.2","1.8","1.1%"
"119","Brandin Cooks (BUF)","36","7.9","24","279","11.6","4","0","0","0","0","0","15","27.9","1.9","1.9%"
"120","Chris Moore (WAS)","23","5.4","11","207","18.8","3","1","1","9","0","0","13","27.6","2.1","0.8%"
"121","Roman Wilson (PIT)","21","4.3","12","166","13.8","3","2","0","0","0","1","14","26.6","1.9","1.5%"
"122","Tyler Johnson (NYJ)","18","3.9","12","197","16.4","5","1","0","0","0","0","12","25.7","2.1","0.6%"
"123","Mitch Tinsley (CIN)","24","4.5","8","116","14.5","1","2","0","0","0","0","16","23.6","1.5","0.6%"
"124","Tutu Atwell (LAR)","12","2.3","5","173","34.6","3","1","0","0","0","0","9","23.3","2.6","1.3%"
"125","Jack Bech (LV)","27","5.6","20","224","11.2","2","0","0","0","0","0","15","22.4","1.5","3.2%"
"126","Lil'Jordan Humphrey (DEN)","25","4.5","13","156","12.0","2","1","0","0","0","0","9","21.6","2.4","0.7%"
"127","Devontez Walker (BAL)","6","1.6","4","90","22.5","3","2","0","0","0","0","10","21.0","2.1","0.6%"
"128","Hunter Renfrow (FA)","26","0","15","89","5.9","0","2","0","0","0","0","6","20.9","3.5","0.9%"
"129","Bo Melton (GB)","12","2.6","4","107","26.8","2","1","5","35","0","0","15","20.2","1.3","0.8%"
"130","Elijah Moore (DEN)","17","3.1","9","112","12.4","3","0","6","24","1","0","9","19.6","2.2","0.6%"
"131","Zay Jones (ARI)","18","3.1","12","183","15.3","4","0","0","0","0","0","8","18.3","2.3","0.6%"
"132","Jordan Whittington (LAR)","25","4.8","18","171","9.5","2","0","3","12","0","0","16","18.3","1.1","1.3%"
"133","Treylon Burks (WAS)","18","4.3","8","118","14.8","2","1","0","0","0","0","7","17.8","2.5","0.6%"
"134","Isaiah Hodgins (NYG)","17","3.6","10","115","11.5","2","1","0","0","0","0","6","17.5","2.9","2.2%"
"135","Jalen McMillan (TB)","14","2.7","11","167","15.2","2","0","1","1","0","0","3","16.8","5.6","3.1%"
"136","Malachi Corley (CLE)","12","2.4","9","59","6.6","0","0","10","109","0","0","12","16.8","1.4","0.6%"
"137","Kevin Austin Jr. (NO)","14","2.6","9","103","11.4","1","1","0","0","0","0","7","16.3","2.3","1.2%"
"138","Adam Thielen (FA)","29","0","16","143","8.9","0","0","0","0","0","0","15","16.3","1.1","6.1%"
"139","Jimmy Horn Jr. (CAR)","14","2.9","10","93","9.3","1","0","8","69","0","0","12","16.2","1.4","0.6%"
"140","Theo Wease Jr. (MIA)","5","1.1","3","95","31.7","1","1","0","0","0","0","2","15.5","7.8","0.0%"
"141","Savion Williams (GB)","10","2.1","10","78","7.8","1","1","11","37","0","1","12","15.5","1.3","0.7%"
"142","Konata Mumpfield (LAR)","22","4.2","10","92","9.2","0","1","0","0","0","0","16","15.2","1.0","2.1%"
"143","Cody White (SEA)","4","0.9","3","90","30.0","2","1","0","0","0","0","9","15.0","1.7","0.0%"
"144","Ashton Dulin (IND)","8","1.6","5","106","21.2","3","0","3","44","0","0","11","15.0","1.4","0.0%"
"145","Marquez Valdes-Scantling (PIT)","22","4.5","9","86","9.6","0","1","0","0","0","0","9","14.6","1.6","1.1%"
"146","Curtis Samuel (BUF)","9","1.9","7","81","11.6","2","1","0","0","0","0","6","14.1","2.4","1.1%"
"147","Kameron Johnson (TB)","7","1.4","4","64","16.0","1","1","2","13","0","0","16","13.7","0.9","0.2%"
"148","Gunner Olszewski (NYG)","4","0.8","2","43","21.5","1","1","0","0","0","1","15","13.6","0.9","0.2%"
"149","Dont'e Thornton Jr. (LV)","29","6.2","10","135","13.5","3","0","0","0","0","0","14","13.5","1.0","2.4%"
"150","Brycen Tremayne (CAR)","16","3.4","12","133","11.1","2","0","0","0","0","0","15","13.3","0.9","0.0%"
"151","Allen Lazard (FA)","18","0","10","70","7.0","0","1","0","0","0","0","10","13.0","1.3","0.8%"
"152","Ben Skowronek (PIT)","6","1.2","4","69","17.3","2","1","0","0","0","0","15","12.9","0.9","0.1%"
"153","Josh Reynolds (NYJ)","21","4.7","11","101","9.2","0","0","0","0","0","0","5","12.1","2.4","2.1%"
"154","Jahdae Walker (CHI)","7","1.4","4","51","12.8","0","1","0","0","0","0","6","11.1","1.9","0.2%"
"155","Jamari Thrash (CLE)","15","3","10","107","10.7","3","0","0","0","0","0","9","10.7","1.2","0.6%"
"156","Tylan Wallace (BAL)","8","2.2","4","45","11.3","0","1","0","0","0","0","13","10.5","0.8","0.6%"
"157","Shedrick Jackson (LV)","4","0.8","3","45","15.0","1","1","0","0","0","0","4","10.5","2.6","1.0%"
"158","Efton Chism III (NE)","2","0.4","2","40","20.0","1","1","0","0","0","0","7","10.0","1.4","0.7%"
"159","Skyy Moore (SF)","7","1.4","5","87","17.4","2","0","2","11","0","0","16","9.8","0.6","1.9%"
"160","Mason Tipton (NO)","17","3.3","11","76","6.9","0","0","4","18","0","0","13","9.4","0.7","0.7%"
"161","Ryan Miller (NYG)","4","0.8","2","34","17.0","1","1","0","0","0","0","13","9.4","0.7","1.0%"
"162","Casey Washington (ATL)","14","2.8","6","94","15.7","1","0","0","0","0","0","7","9.4","1.3","0.0%"
"163","Michael Bandy (DEN)","4","0.8","4","50","12.5","1","1","0","0","0","1","4","9.0","2.3","0.0%"
"164","Nick Westbrook-Ikhine (MIA)","20","4.5","11","89","8.1","0","0","0","0","0","0","14","8.9","0.6","1.0%"
"165","Gabe Davis (BUF)","11","2.3","7","88","12.6","2","0","0","0","0","0","5","8.8","1.8","1.1%"
"166","KeAndre Lambert-Smith (LAC)","7","1.4","3","27","9.0","0","1","0","0","0","0","9","8.7","1.0","0.6%"
"167","Malik Heath (ATL)","7","1.4","6","86","14.3","1","0","0","0","0","0","11","8.6","0.8","1.0%"
"168","Noah Brown (WAS)","10","2.4","5","83","16.6","1","0","0","0","0","0","4","8.3","2.1","0.8%"
"169","Ray-Ray McCloud III (FA)","15","0","7","69","9.9","1","0","0","0","0","0","6","6.9","1.2","0.9%"
"170","Xavier Weaver (ARI)","13","2.2","7","67","9.6","1","0","0","0","0","0","8","6.7","0.8","0.1%"
"171","Arian Smith (NYJ)","14","2.9","7","52","7.4","1","0","3","11","0","0","15","6.3","0.4","0.7%"
"172","Charlie Jones (CIN)","1","0.2","0","0","0","0","0","0","0","0","0","14","6.0","0.4","0.6%"
"173","James Proche II (TEN)","11","2.2","5","60","12.0","1","0","0","0","0","0","8","6.0","0.8","0.0%"
"174","Darius Cooper (PHI)","6","1.4","6","59","9.8","0","0","0","0","0","0","12","5.9","0.5","1.6%"
"175","Gage Larvadain (CLE)","14","2.8","7","71","10.1","0","0","1","3","0","1","12","5.4","0.5","0.0%"
